,name,type,f0,f1,f1:f0,palm_width,E_max,E_point,NE_max,NE_point,NW_max,NW_point,N_max,N_point,SE_max,SE_point,SW_max,SW_point,S_max,S_point,W_max,W_point,total_distance,total_area
14,2v2_25.75_35.65_0.9.1_73,2v2,25.75,35.65,0.9.1,735,0.06195630874036676,"(0.06195630874036676, 0.0)",0.032140518090276994,"(0.022726778292483766, 0.022726778292483766)",0.04272109029606862,"(-0.03020837264803293, 0.03020837264803293)",0.04496543299096357,"(0.0, 0.04496543299096357)",0.009962708840964734,"(0.007044698980433333, -0.007044698980433333)",0.027828586495437936,"(-0.019677782221760545, -0.019677782221760545)",0.018375058667726662,"(0.0, -0.018375058667726662)",0.0927126945751018,"(-0.0927126945751018, 0.0)",0.33066239869690706,0.004670444909933467
15,2v2_25.75_35.65_0.95.1_53,2v2,25.75,35.65,0.95.1,535,0.08151979819626598,"(0.08151979819626598, 0.0)",0.037290767909762795,"(0.026368554864646968, 0.026368554864646968)",0.046915217614205945,"(-0.03317406851584758, 0.03317406851584758)",0.03988756630816551,"(0.0, 0.03988756630816551)",0.008126394402571157,"(0.005746228588654468, -0.005746228588654468)",0.030260004682746075,"(-0.021397054509906432, -0.021397054509906432)",0.011374095467346189,"(0.0, -0.011374095467346189)",0.09293624278822525,"(-0.09293624278822525, 0.0)",0.3483100873692889,0.005186683218244669
16,2v2_25.75_35.65_0.95.1_63,2v2,25.75,35.65,0.95.1,635,0.07598995427034465,"(0.07598995427034465, 0.0)",0.03487091677102702,"(0.024657461714984917, 0.024657461714984917)",0.05075753966240531,"(-0.035891000491631936, 0.035891000491631936)",0.04477043414147975,"(0.0, 0.04477043414147975)",0.011034009508291457,"(0.007802222946989732, -0.007802222946989732)",0.033136827713016626,"(-0.02343127558288437, -0.02343127558288437)",0.01586562586701115,"(0.0, -0.01586562586701115)",0.09059052064295192,"(-0.09059052064295192, 0.0)",0.3570158285765278,0.005523482885095332
17,2v2_25.75_35.65_0.95.1_73,2v2,25.75,35.65,0.95.1,735,0.06999805315473007,"(0.06999805315473007, 0.0)",0.03413123122635555,"(0.02413442505040205, 0.02413442505040205)",0.05390102884140859,"(-0.038113783006691694, 0.038113783006691694)",0.044435234582937286,"(0.0, 0.044435234582937286)",0.018977289009100486,"(0.01341896974687189, -0.01341896974687189)",0.028943793950667887,"(-0.020466352975783437, -0.020466352975783437)",0.024368253282901375,"(0.0, -0.024368253282901375)",0.08182273213787505,"(-0.08182273213787505, 0.0)",0.35657761618597633,0.005506795577158735
18,2v2_25.75_35.65_1.1_53,2v2,25.75,35.65,1.1,535,0.08521762323035985,"(0.08521762323035985, 0.0)",0.03832931530830065,"(0.027102918772736736, 0.027102918772736736)",0.041187667921198524,"(-0.029124079288339107, 0.029124079288339107)",0.040634212112787546,"(0.0, 0.040634212112787546)",0.006987372087780253,"(0.004940818185943021, -0.004940818185943021)",0.023913305846693208,"(-0.016909260724784683, -0.016909260724784683)",0.015141504050121058,"(0.0, -0.015141504050121058)",0.08697343218164573,"(-0.08697343218164573, 0.0)",0.3383844327388868,0.004674975751382444
19,2v2_25.75_35.65_1.1_63,2v2,25.75,35.65,1.1,635,0.08229059505317698,"(0.08229059505317698, 0.0)",0.03749937526401989,"(0.026516062539447546, 0.026516062539447546)",0.03590715695463062,"(-0.02539019417574901, 0.02539019417574901)",0.03574262541580987,"(0.0, 0.03574262541580987)",0.0063225327486999125,"(0.00447070578087973, -0.00447070578087973)",0.02730259543257814,"(-0.01930585037436886, -0.01930585037436886)",0.013881743178193627,"(0.0, -0.013881743178193627)",0.0802180670618643,"(-0.0802180670618643, 0.0)",0.31916469110897333,0.004160337919846645
20,2v2_25.75_35.65_1.1_73,2v2,25.75,35.65,1.1,735,0.07831880560443702,"(0.07831880560443702, 0.0)",0.03462951391639121,"(0.024486764119474137, 0.024486764119474137)",0.03530901347843211,"(-0.02496724286760655, 0.02496724286760655)",0.0509270247265026,"(0.0, 0.0509270247265026)",0.006764620191199937,"(0.004783308809348915, -0.004783308809348915)",0.028126626022064616,"(-0.0198885279920999, -0.0198885279920999)",0.02383562156469085,"(0.0, -0.02383562156469085)",0.07686370400748817,"(-0.07686370400748817, 0.0)",0.3347749295112065,0.0044233959240446066
21,2v2_25.75_40.60_0.9.1_53,2v2,25.75,40.60,0.9.1,535,0.0747119367836137,"(0.0747119367836137, 0.0)",0.03385042955909056,"(0.023935868287310487, 0.023935868287310487)",0.0480641936583721,"(-0.033986517268098364, 0.033986517268098364)",0.04579671962660918,"(0.0, 0.04579671962660918)",0.008811113253690167,"(0.006230397931486982, -0.006230397931486982)",0.030008633841815804,"(-0.02121930848369207, -0.02121930848369207)",0.011853296955152123,"(0.0, -0.011853296955152123)",0.10046194558089061,"(-0.10046194558089061, 0.0)",0.3535582692592342,0.0053889448050086185
22,2v2_25.75_40.60_0.9.1_63,2v2,25.75,40.60,0.9.1,635,0.0669718219351672,"(0.0669718219351672, 0.0)",0.03180756909719455,"(0.02249134780168594, 0.02249134780168594)",0.04407504476910536,"(-0.03116576303733507, 0.03116576303733507)",0.03871956662006513,"(0.0, 0.03871956662006513)",0.021612459744289717,"(0.015282316843308536, -0.015282316843308536)",0.027187419276434664,"(-0.01922440853332881, -0.01922440853332881)",0.014088460772952517,"(0.0, -0.014088460772952517)",0.09441061260208292,"(-0.09441061260208292, 0.0)",0.33887295481729207,0.004925432417098612
23,2v2_25.75_40.60_0.9.1_73,2v2,25.75,40.60,0.9.1,735,0.06192567149109227,"(0.06192567149109227, 0.0)",0.031460942851598055,"(0.022246246032887423, 0.022246246032887423)",0.04665424310180772,"(-0.032989531668413945, 0.032989531668413945)",0.04749050988383192,"(0.0, 0.04749050988383192)",0.02554505999197277,"(0.01806308514614112, -0.01806308514614112)",0.03170570746234358,"(-0.02241932074894007, -0.02241932074894007)",0.028439699707368146,"(0.0, -0.028439699707368146)",0.08991125399745513,"(-0.08991125399745513, 0.0)",0.36313308848746956,0.0056262722589875405
24,2v2_25.75_40.60_0.95.1_53,2v2,25.75,40.60,0.95.1,535,0.08146869417954844,"(0.08146869417954844, 0.0)",0.03918348151804122,"(0.027706905491904705, 0.027706905491904705)",0.048705419147567215,"(-0.03443993215977789, 0.03443993215977789)",0.042548411218589245,"(0.0, 0.042548411218589245)",0.0221481099495009,"(0.01566107873575733, -0.01566107873575733)",0.030607647317913947,"(-0.021642874974663197, -0.021642874974663197)",0.013502495673811175,"(0.0, -0.013502495673811175)",0.09227058203384102,"(-0.09227058203384102, 0.0)",0.37043484103881313,0.005927935989271556
25,2v2_25.75_40.60_0.95.1_63,2v2,25.75,40.60,0.95.1,635,0.0768854677974742,"(0.0768854677974742, 0.0)",0.03589667113798487,"(0.025382779583692523, 0.025382779583692523)",0.04189734001698526,"(-0.02962589323968878, 0.02962589323968878)",0.04653993340240635,"(0.0, 0.04653993340240635)",0.026132064983767248,"(0.018478160356429348, -0.018478160356429348)",0.034355702353911374,"(-0.024293150106877364, -0.024293150106877364)",0.016042982488838477,"(0.0, -0.016042982488838477)",0.08905407682205985,"(-0.08905407682205985, 0.0)",0.3668042390034276,0.0057101294341163475
26,2v2_25.75_40.60_0.95.1_73,2v2,25.75,40.60,0.95.1,735,0.07091426020999268,"(0.07091426020999268, 0.0)",0.03592960699093133,"(0.02540606874865513, 0.02540606874865513)",0.04621674972203216,"(-0.03268017713285042, 0.03268017713285042)",0.036483458762008356,"(0.0, 0.036483458762008356)",0.029594621811026088,"(0.02092655776922785, -0.02092655776922785)",0.04143262834074845,"(-0.02929729246212516, -0.02929729246212516)",0.029503604286951216,"(0.0, -0.029503604286951216)",0.08062531816802881,"(-0.08062531816802881, 0.0)",0.37070024829171905,0.0059417844488482635
27,2v2_25.75_40.60_1.1_53,2v2,25.75,40.60,1.1,535,0.08784912575456907,"(0.08784912575456907, 0.0)",0.042080836468613284,"(0.029755644824958623, 0.029755644824958623)",0.045829111218586634,"(-0.03240607531841509, 0.03240607531841509)",0.039351591529253896,"(0.0, 0.039351591529253896)",0.02142192402627241,"(0.01514758774504025, -0.01514758774504025)",0.03689489503606836,"(-0.026088630471169827, -0.026088630471169827)",0.017860871635044347,"(0.0, -0.017860871635044347)",0.0910372921666562,"(-0.0910372921666562, 0.0)",0.3823256478350642,0.006226293383054887
28,2v2_25.75_40.60_1.1_63,2v2,25.75,40.60,1.1,635,0.08365862135524903,"(0.08365862135524903, 0.0)",0.03969058481592259,"(0.02806548167259868, 0.02806548167259868)",0.04189586845056564,"(-0.029624852685094502, 0.029624852685094502)",0.04316356239433628,"(0.0, 0.04316356239433628)",0.006368755918630207,"(0.004503390497785379, -0.004503390497785379)",0.03585414883370984,"(-0.02535271177398797, -0.02535271177398797)",0.020823259565672034,"(0.0, -0.020823259565672034)",0.08053014393617378,"(-0.08053014393617378, 0.0)",0.35198494527025936,0.005131919918921325
29,2v2_25.75_40.60_1.1_73,2v2,25.75,40.60,1.1,735,0.07653093109568818,"(0.07653093109568818, 0.0)",0.036866066229767354,"(0.026068245426740872, 0.026068245426740872)",0.037602850382131243,"(-0.026589230497148165, 0.026589230497148165)",0.052330225810938526,"(0.0, 0.052330225810938526)",0.008830840496743474,"(0.006244347198824091, -0.006244347198824091)",0.04009593037295017,"(-0.028352104264696726, -0.028352104264696726)",0.02528257804053878,"(0.0, -0.02528257804053878)",0.07817210060370856,"(-0.07817210060370856, 0.0)",0.3557115230324663,0.005199028718919235
30,2v2_25.75_45.55_0.9.1_53,2v2,25.75,45.55,0.9.1,535,0.07352853828173486,"(0.07352853828173486, 0.0)",0.03334079968027808,"(0.02357550554410691, 0.02357550554410691)",0.04398596726202774,"(-0.031102775728029292, 0.031102775728029292)",0.04203976421026144,"(0.0, 0.04203976421026144)",0.02227916905501449,"(0.01575375151800223, -0.01575375151800223)",0.028967594229758278,"(-0.020483182314522383, -0.020483182314522383)",0.010988490453160525,"(0.0, -0.010988490453160525)",0.09532997575088852,"(-0.09532997575088852, 0.0)",0.3504602989231239,0.005253181083169876
31,2v2_25.75_45.55_0.9.1_63,2v2,25.75,45.55,0.9.1,635,0.06848011499898511,"(0.06848011499898511, 0.0)",0.03106514287913825,"(0.021966373188367645, 0.021966373188367645)",0.05127452226758778,"(-0.03625656239751195, 0.03625656239751195)",0.040265821666529235,"(0.0, 0.040265821666529235)",0.024429392601107172,"(0.017274189168511353, -0.017274189168511353)",0.02556082549345313,"(-0.018074233039146688, -0.018074233039146688)",0.009218639672052898,"(0.0, -0.009218639672052898)",0.09373672203976814,"(-0.09373672203976814, 0.0)",0.3440311816186217,0.005225123800690167
32,2v2_25.75_45.55_0.9.1_73,2v2,25.75,45.55,0.9.1,735,0.06463058767288812,"(0.06463058767288812, 0.0)",0.03004089411047743,"(0.02124211993842561, 0.02124211993842561)",0.05231638029507751,"(-0.036993267273783575, 0.036993267273783575)",0.036241815050726586,"(0.0, 0.036241815050726586)",0.02493737442738115,"(0.01763338656258921, -0.01763338656258921)",0.030943662386780934,"(-0.021880473508439906, -0.021880473508439906)",0.01556077526248553,"(0.0, -0.01556077526248553)",0.08717286230009846,"(-0.08717286230009846, 0.0)",0.3418443515059157,0.005185080879306574
33,2v2_25.75_45.55_0.95.1_53,2v2,25.75,45.55,0.95.1,535,0.08266095051614843,"(0.08266095051614843, 0.0)",0.03801612458429864,"(0.02688145948799019, 0.02688145948799019)",0.04895866529328625,"(-0.034619004226725175, 0.034619004226725175)",0.039317795433055115,"(0.0, 0.039317795433055115)",0.029322049415237403,"(0.020733819979801407, -0.020733819979801407)",0.03050284288543953,"(-0.021568767049762128, -0.021568767049762128)",0.012481139231709126,"(0.0, -0.012481139231709126)",0.09103863071641034,"(-0.09103863071641034, 0.0)",0.3722981980755848,0.005998614574934319
34,2v2_25.75_45.55_0.95.1_63,2v2,25.75,45.55,0.95.1,635,0.07667821827379648,"(0.07667821827379648, 0.0)",0.0365449624950167,"(0.02584119079843436, 0.02584119079843436)",0.042624798139252656,"(-0.030140283810973285, 0.030140283810973285)",0.05191478757896748,"(0.0, 0.05191478757896748)",0.027338735942136153,"(0.01933140557375287, -0.01933140557375287)",0.034479483333156716,"(-0.024380676476683658, -0.024380676476683658)",0.017700789000895844,"(0.0, -0.017700789000895844)",0.08704767410045336,"(-0.08704767410045336, 0.0)",0.37432944886367536,0.005944840845626892
35,2v2_25.75_45.55_0.95.1_73,2v2,25.75,45.55,0.95.1,735,0.07113756415884669,"(0.07113756415884669, 0.0)",0.03538476038073538,"(0.02502080401587907, 0.02502080401587907)",0.04002804102479717,"(-0.0283040992462474, 0.0283040992462474)",0.05020317021875834,"(0.0, 0.05020317021875834)",0.023474694602323667,"(0.01659911573958631, -0.01659911573958631)",0.042099935800322695,"(-0.029769150091926478, -0.029769150091926478)",0.029096269816833716,"(0.0, -0.029096269816833716)",0.08197876972117939,"(-0.08197876972117939, 0.0)",0.37340320572379704,0.005873868007642492
36,2v2_25.75_45.55_1.1_53,2v2,25.75,45.55,1.1,535,0.09226492422222259,"(0.09226492422222259, 0.0)",0.028873899996501598,"(0.02041693048682851, 0.02041693048682851)",0.04115348074901708,"(-0.029099905307060015, 0.029099905307060015)",0.040752585947931054,"(0.0, 0.040752585947931054)",0.02875288457688457,"(0.020331359662989174, -0.020331359662989174)",0.036747096005184034,"(-0.02598412077417872, -0.02598412077417872)",0.014128802792456692,"(0.0, -0.014128802792456692)",0.08917882602927385,"(-0.08917882602927385, 0.0)",0.3718525003194715,0.005672144038821751
37,2v2_25.75_45.55_1.1_63,2v2,25.75,45.55,1.1,635,0.07911064492528785,"(0.07911064492528785, 0.0)",0.04183333589675809,"(0.029580635492252268, 0.029580635492252268)",0.04235489738957894,"(-0.02994943516063167, 0.02994943516063167)",0.039572594404248,"(0.0, 0.039572594404248)",0.021867063984863107,"(0.01546234922833683, -0.01546234922833683)",0.046672416042994457,"(-0.033002381878361194, -0.033002381878361194)",0.013531644129528161,"(0.0, -0.013531644129528161)",0.08124293600379213,"(-0.08124293600379213, 0.0)",0.3661855327770507,0.005844668424299467
38,2v2_25.75_45.55_1.1_73,2v2,25.75,45.55,1.1,735,0.07766604421821896,"(0.07766604421821896, 0.0)",0.03714150487540646,"(0.026263009960873124, 0.026263009960873124)",0.039125720360780075,"(-0.027666062185916163, 0.027666062185916163)",0.04253565464674545,"(0.0, 0.04253565464674545)",0.01836101550091335,"(0.012983198570167144, -0.012983198570167144)",0.05625428491780205,"(-0.039777786336177956, -0.039777786336177956)",0.021850347298980527,"(0.0, -0.021850347298980527)",0.0757003460549014,"(-0.0757003460549014, 0.0)",0.36863491787374825,0.005800187335930625
39,2v2_25.75_50.50_0.9.1_53,2v2,25.75,50.50,0.9.1,535,0.07230065084841134,"(0.07230065084841134, 0.0)",0.032443144643505485,"(0.022940767580438743, 0.022940767580438743)",0.046496761883998816,"(-0.032878175631391754, 0.032878175631391754)",0.03588368583643452,"(0.0, 0.03588368583643452)",0.023689426113429654,"(0.016750953847223787, -0.016750953847223787)",0.029234898900347552,"(-0.020672195259738894, -0.020672195259738894)",0.009231700573428618,"(0.0, -0.009231700573428618)",0.09681177998284342,"(-0.09681177998284342, 0.0)",0.3460920487823994,0.005201256373115497
40,2v2_25.75_50.50_0.9.1_63,2v2,25.75,50.50,0.9.1,635,0.06822339550204322,"(0.06822339550204322, 0.0)",0.032102354707791006,"(0.02269979270593491, 0.02269979270593491)",0.04928696427139678,"(-0.03485114666040375, 0.03485114666040375)",0.03667409073518134,"(0.0, 0.03667409073518134)",0.021474378609503703,"(0.015184678736547412, -0.015184678736547412)",0.027229374192316143,"(-0.019254075138852716, -0.019254075138852716)",0.010555108154696194,"(0.0, -0.010555108154696194)",0.09326535175546914,"(-0.09326535175546914, 0.0)",0.3388110179283975,0.0050524414828027496
41,2v2_25.75_50.50_0.9.1_73,2v2,25.75,50.50,0.9.1,735,0.06435388391525713,"(0.06435388391525713, 0.0)",0.03075599672764418,"(0.021747773848268464, 0.021747773848268464)",0.04315414497990682,"(-0.030514588551599522, 0.030514588551599522)",0.04655774810557318,"(0.0, 0.04655774810557318)",0.022406663242194248,"(0.015843903522318906, -0.015843903522318906)",0.03005170887219362,"(-0.021249767129772043, -0.021249767129772043)",0.029214386075481876,"(0.0, -0.029214386075481876)",0.0898045272019078,"(-0.0898045272019078, 0.0)",0.35629905912015886,0.005292365324482865
42,2v2_25.75_50.50_0.95.1_53,2v2,25.75,50.50,0.95.1,535,0.08247303323998822,"(0.08247303323998822, 0.0)",0.03779772137627781,"(0.02672702509856576, 0.02672702509856576)",0.04697940517204153,"(-0.03321945597326093, 0.03321945597326093)",0.04588530995974497,"(0.0, 0.04588530995974497)",0.03184791106944195,"(0.022519873883828513, -0.022519873883828513)",0.030983686649196894,"(-0.021908774935806223, -0.021908774935806223)",0.015055669577909393,"(0.0, -0.015055669577909393)",0.09798963390133399,"(-0.09798963390133399, 0.0)",0.3890123709459347,0.006441551111273593
43,2v2_25.75_50.50_0.95.1_63,2v2,25.75,50.50,0.95.1,635,0.07863778366513324,"(0.07863778366513324, 0.0)",0.033678925605054845,"(0.02381459667841153, 0.02381459667841153)",0.045989358593503796,"(-0.03251938732388636, 0.03251938732388636)",0.035636765317063036,"(0.0, 0.035636765317063036)",0.021153514492859286,"(0.014957793543828713, -0.014957793543828713)",0.033413228224431844,"(-0.023626720258829503, -0.023626720258829503)",0.012271724468069024,"(0.0, -0.012271724468069024)",0.08878373970274533,"(-0.08878373970274533, 0.0)",0.3495650400688604,0.005257447862404268
44,2v2_25.75_50.50_0.95.1_73,2v2,25.75,50.50,0.95.1,735,0.0685417626671512,"(0.0685417626671512, 0.0)",0.03304391819861852,"(0.023365578635216724, 0.023365578635216724)",0.04726440792381636,"(-0.033420983351697735, 0.033420983351697735)",0.050098496324438635,"(0.0, 0.050098496324438635)",0.014674669898793406,"(0.010376558597110924, -0.010376558597110924)",0.04098279496890432,"(-0.028979212234490168, -0.028979212234490168)",0.02297212729083306,"(0.0, -0.02297212729083306)",0.08234363845765397,"(-0.08234363845765397, 0.0)",0.3599218157302095,0.005600005925623968
45,2v2_25.75_50.50_1.1_53,2v2,25.75,50.50,1.1,535,0.08533294862912916,"(0.08533294862912916, 0.0)",0.041213839023774415,"(0.02914258505244165, 0.02914258505244165)",0.043540527523517225,"(-0.030787802268318544, 0.030787802268318544)",0.03963522577451985,"(0.0, 0.03963522577451985)",0.02594847179816283,"(0.018348340369908823, -0.018348340369908823)",0.03634191434687371,"(-0.025697614075975084, -0.025697614075975084)",0.014004203136065844,"(0.0, -0.014004203136065844)",0.08752136488357937,"(-0.08752136488357937, 0.0)",0.37353849511562237,0.005994202179739935
46,2v2_25.75_50.50_1.1_63,2v2,25.75,50.50,1.1,635,0.08389601292661414,"(0.08389601292661414, 0.0)",0.03892391710338958,"(0.027523365734149808, 0.027523365734149808)",0.045882267728813514,"(-0.03244366264726073, 0.03244366264726073)",0.046382473442097484,"(0.0, 0.046382473442097484)",0.016755629065956925,"(0.011848018935584558, -0.011848018935584558)",0.0436703002524348,"(-0.030879565444949242, -0.030879565444949242)",0.02097283404429487,"(0.0, -0.02097283404429487)",0.08153486634669802,"(-0.08153486634669802, 0.0)",0.3780183009102993,0.006071845386979683
