,name,type,f0,f1,f1:f0,palm_width,E_max,E_point,NE_max,NE_point,NW_max,NW_point,N_max,N_point,SE_max,SE_point,SW_max,SW_point,S_max,S_point,W_max,W_point,total_distance,total_area
0,2v2_25.75_25.75_1.1_53,2v2,25.75,25.75,1.1,535,0.0861909838001013,"(0.0861909838001013, 0.0)",0.03728019660169023,"(0.026361079821022843, 0.026361079821022843)",0.036957408924031876,"(-0.02613283446526717, 0.02613283446526717)",0.03682764368213171,"(0.0, 0.03682764368213171)",0.007028751432390184,"(0.004970077801117759, -0.004970077801117759)",0.00800917995255533,"(-0.005663345456195225, -0.005663345456195225)",0.009291020637573115,"(0.0, -0.009291020637573115)",0.08848263421452351,"(-0.08848263421452351, 0.0)",0.31006781924499727,0.0037729477911029362
1,2v2_25.75_25.75_1.1_63,2v2,25.75,25.75,1.1,635,0.07981813686509953,"(0.07981813686509953, 0.0)",0.038169722786056445,"(0.026990069818031193, 0.026990069818031193)",0.037774120919102365,"(-0.026710337055257907, 0.026710337055257907)",0.038951387252999806,"(0.0, 0.038951387252999806)",0.008353393236293681,"(0.0059067410033011025, -0.0059067410033011025)",0.009722023568546902,"(-0.006874508792174952, -0.006874508792174952)",0.005650231777604347,"(0.0, -0.005650231777604347)",0.0833634299638891,"(-0.0833634299638891, 0.0)",0.3018024463695922,0.003794716230364952
2,2v2_25.75_25.75_1.1_73,2v2,25.75,25.75,1.1,735,0.07731752601642988,"(0.07731752601642988, 0.0)",0.035287242094833034,"(0.024951848174627828, 0.024951848174627828)",0.03470059316480719,"(-0.024537024738030724, 0.024537024738030724)",0.004912864306406486,"(0.0, 0.004912864306406486)",0.009622150669894573,"(0.006803887988281134, -0.006803887988281134)",0.010209539509767069,"(-0.0072192346201482745, -0.0072192346201482745)",0.0071890708643134035,"(0.0, -0.0071890708643134035)",0.07651262202096323,"(-0.07651262202096323, 0.0)",0.25575160864741486,0.0026144874827432316
3,2v2_25.75_30.70_0.9.1_53,2v2,25.75,30.70,0.9.1,535,0.07137446006296622,"(0.07137446006296622, 0.0)",0.03155133912782929,"(0.022310165852804546, 0.022310165852804546)",0.04390030231595673,"(-0.0310422014637525, 0.0310422014637525)",0.028861993556471212,"(0.0, 0.028861993556471212)",0.004921820227613199,"(0.0034802524587264094, -0.0034802524587264094)",0.014152799414109567,"(-0.010007540438489872, -0.010007540438489872)",0.010663566183766335,"(0.0, -0.010663566183766335)",0.09518186332906216,"(-0.09518186332906216, 0.0)",0.3006081442177747,0.003715825879580711
4,2v2_25.75_30.70_0.9.1_63,2v2,25.75,30.70,0.9.1,635,0.06775955980919089,"(0.06775955980919089, 0.0)",0.029500588659953957,"(0.02086006629044841, 0.02086006629044841)",0.03905843550410448,"(-0.027618484607489686, 0.027618484607489686)",0.04145823694513887,"(0.0, 0.04145823694513887)",0.006667421862479933,"(0.004714579211991001, -0.004714579211991001)",0.020461538288061673,"(-0.01446849247699659, -0.01446849247699659)",0.014019034271100154,"(0.0, -0.014019034271100154)",0.09837313154082185,"(-0.09837313154082185, 0.0)",0.31729794688085183,0.004075958921862851
5,2v2_25.75_30.70_0.9.1_73,2v2,25.75,30.70,0.9.1,735,0.06164840504865762,"(0.06164840504865762, 0.0)",0.029493303322528686,"(0.020854914778951766, 0.020854914778951766)",0.048836910141296194,"(-0.03453291033310861, 0.03453291033310861)",0.046890828751373355,"(0.0, 0.046890828751373355)",0.00943564418776502,"(0.0066720079900320795, -0.0066720079900320795)",0.019861150465599834,"(-0.014043954176391999, -0.014043954176391999)",0.022696190047697726,"(0.0, -0.022696190047697726)",0.08691816337833076,"(-0.08691816337833076, 0.0)",0.32578059534324916,0.00449327858351998
6,2v2_25.75_30.70_0.95.1_53,2v2,25.75,30.70,0.95.1,535,0.08493155761059987,"(0.08493155761059987, 0.0)",0.03640031575559385,"(0.025738910108111936, 0.025738910108111936)",0.047614534103642095,"(-0.033668559947723456, 0.033668559947723456)",0.035642987808303564,"(0.0, 0.035642987808303564)",0.006598988429736971,"(0.004666189467638579, -0.004666189467638579)",0.013667930551485833,"(-0.009664686377742421, -0.009664686377742421)",0.012343516926943077,"(0.0, -0.012343516926943077)",0.09146359421161858,"(-0.09146359421161858, 0.0)",0.3286634253979238,0.004420060031778042
7,2v2_25.75_30.70_0.95.1_63,2v2,25.75,30.70,0.95.1,635,0.07715445770427756,"(0.07715445770427756, 0.0)",0.036381595118231615,"(0.02572567261848497, 0.02572567261848497)",0.05338804304979378,"(-0.037751047274788514, 0.037751047274788514)",0.048737082534677935,"(0.0, 0.048737082534677935)",0.008084799771172288,"(0.0057168167427313725, -0.0057168167427313725)",0.01631275825266962,"(-0.011534861980319507, -0.011534861980319507)",0.01484140691932334,"(0.0, -0.01484140691932334)",0.08600978497787012,"(-0.08600978497787012, 0.0)",0.34090992832801625,0.005007353996723579
8,2v2_25.75_30.70_0.95.1_73,2v2,25.75,30.70,0.95.1,735,0.06991621476178277,"(0.06991621476178277, 0.0)",0.03641131911862274,"(0.025746690660725526, 0.025746690660725526)",0.04056642055217332,"(-0.028684791060907086, 0.028684791060907086)",0.04692828037051531,"(0.0, 0.04692828037051531)",0.010705087169411215,"(0.0075696397306837734, -0.0075696397306837734)",0.020897882392456615,"(-0.014777034352145025, -0.014777034352145025)",0.021069859592126743,"(0.0, -0.021069859592126743)",0.08245691561639876,"(-0.08245691561639876, 0.0)",0.32895197957348743,0.004469148450915275
9,2v2_25.75_30.70_1.1_53,2v2,25.75,30.70,1.1,535,0.08551079665199163,"(0.08551079665199163, 0.0)",0.03571614826076845,"(0.025255130633053485, 0.025255130633053485)",0.04116021958634583,"(-0.029104670384632488, 0.029104670384632488)",0.00871801673435847,"(0.0, 0.00871801673435847)",0.006475115430818615,"(0.004578598030097496, -0.004578598030097496)",0.014459524709110935,"(-0.010224427974546783, -0.010224427974546783)",0.008825524606383568,"(0.0, -0.008825524606383568)",0.08971221505056551,"(-0.08971221505056551, 0.0)",0.29057756103034293,0.003341980280015219
10,2v2_25.75_30.70_1.1_63,2v2,25.75,30.70,1.1,635,0.08530767484387862,"(0.08530767484387862, 0.0)",0.0367787185733529,"(0.026006481306569462, 0.026006481306569462)",0.035800207538406174,"(-0.025314569518292765, 0.025314569518292765)",0.04441717320674105,"(0.0, 0.04441717320674105)",0.00870779626670133,"(0.0061573417893754125, -0.0061573417893754125)",0.018557865037045713,"(-0.013122392212039764, -0.013122392212039764)",0.023293051254362263,"(0.0, -0.023293051254362263)",0.07988913151061539,"(-0.07988913151061539, 0.0)",0.33275161823110344,0.004271568144426612
11,2v2_25.75_30.70_1.1_73,2v2,25.75,30.70,1.1,735,0.07478411535971816,"(0.07478411535971816, 0.0)",0.03128548842104111,"(0.02212218101525138, 0.02212218101525138)",0.03400590151203052,"(-0.02404580355951865, 0.02404580355951865)",0.047165917286828986,"(0.0, 0.047165917286828986)",0.00820269067573882,"(0.005800178200790583, -0.005800178200790583)",0.01884242591749347,"(-0.013323607140264787, -0.013323607140264787)",0.01799683038811697,"(0.0, -0.01799683038811697)",0.07873133959172944,"(-0.07873133959172944, 0.0)",0.31101470915269747,0.0037760077798951797
12,2v2_25.75_35.65_0.9.1_53,2v2,25.75,35.65,0.9.1,535,0.07239141978155517,"(0.07239141978155517, 0.0)",0.03429444668847046,"(0.024249835810458, 0.024249835810458)",0.039588515603994186,"(-0.02799330784069374, 0.02799330784069374)",0.03533372765719229,"(0.0, 0.03533372765719229)",0.004971561217357535,"(0.0035154246498775607, -0.0035154246498775607)",0.027160075985607532,"(-0.01920507390696499, -0.01920507390696499)",0.009082516514933065,"(0.0, -0.009082516514933065)",0.09704642904628473,"(-0.09704642904628473, 0.0)",0.3198686924953949,0.004321352671898697
13,2v2_25.75_35.65_0.9.1_63,2v2,25.75,35.65,0.9.1,635,0.06775137895472998,"(0.06775137895472998, 0.0)",0.029969040353283145,"(0.021191311659459797, 0.021191311659459797)",0.04596608867881989,"(-0.03250293300941574, 0.03250293300941574)",0.04290601484644942,"(0.0, 0.04290601484644942)",0.006448734005273038,"(0.004559943545196851, -0.004559943545196851)",0.023658511261576826,"(-0.016729093745839276, -0.016729093745839276)",0.010022719524829513,"(0.0, -0.010022719524829513)",0.08732809060854894,"(-0.08732809060854894, 0.0)",0.3140505782335108,0.004280601025954711
